 3.12.2011 19:8:16		 2455899.29741		 				 				 14.207
 3.12.2011 19:8:43		 2455899.29772		 				 13.801		 		
 3.12.2011 19:17:36		 2455899.30389		 14.262		 				 		
 3.12.2011 19:18:7		 2455899.30425		 				 				 13.975
 3.12.2011 19:18:33		 2455899.30455		 				 13.655		 		
 3.12.2011 19:34:6		 2455899.31535		 13.743		 				 		
 3.12.2011 19:34:37		 2455899.31571		 				 				 13.620
 3.12.2011 19:35:3		 2455899.31601		 				 13.424		 		
 3.12.2011 19:50:13		 2455899.32655		 13.498		 				 		
 3.12.2011 19:50:45		 2455899.32692		 				 				 13.428
 3.12.2011 19:51:11		 2455899.32722		 				 13.303		 		
 3.12.2011 20:3:19		 2455899.33564		 13.523		 				 		
 3.12.2011 20:3:59		 2455899.33611		 				 				 13.429
 3.12.2011 20:4:36		 2455899.33653		 				 13.275		 		
 3.12.2011 20:15:24		 2455899.34403		 13.563		 				 		
 3.12.2011 20:16:5		 2455899.34451		 				 				 13.493
 3.12.2011 20:16:41		 2455899.34493		 				 13.348		 		
 3.12.2011 20:42:46		 2455899.36304		 13.819		 				 		
 3.12.2011 20:43:28		 2455899.36353		 				 				 13.655
 3.12.2011 20:44:5		 2455899.36395		 				 13.438		 		
 3.12.2011 21:16:27		 2455899.38643		 13.978		 				 		
 3.12.2011 21:17:9		 2455899.38691		 				 				 13.818
 3.12.2011 21:17:44		 2455899.38732		 				 13.520		 		
 3.12.2011 23:40:30		 2455899.48646		 14.585		 				 		
 3.12.2011 23:41:11		 2455899.48694		 				 				 14.236
 3.12.2011 23:41:47		 2455899.48736		 				 13.751		 		
 4.12.2011 18:24:26		 2455900.26697		 13.473		 				 		
 4.12.2011 18:24:57		 2455900.26733		 				 				 13.402
 4.12.2011 18:25:23		 2455900.26763		 				 13.271		 		
 4.12.2011 18:34:29		 2455900.27395		 13.494		 				 		
 4.12.2011 18:35:0		 2455900.27431		 				 				 13.419
 4.12.2011 18:35:26		 2455900.27461		 				 13.300		 		
 4.12.2011 19:2:50		 2455900.29364		 13.673		 				 		
 4.12.2011 19:3:41		 2455900.29423		 				 				 13.570
 4.12.2011 19:4:21		 2455900.29469		 				 13.341		 		
 4.12.2011 19:12:28		 2455900.30033		 13.737		 				 		
 4.12.2011 19:13:9		 2455900.3008		 				 				 13.620
 4.12.2011 19:13:45		 2455900.30122		 				 13.379		 		
 4.12.2011 19:21:47		 2455900.3068		 13.805		 				 		
 4.12.2011 19:22:28		 2455900.30727		 				 				 13.668
 4.12.2011 19:23:4		 2455900.30769		 				 13.439		 		
 4.12.2011 20:15:16		 2455900.34394		 14.102		 				 		
 4.12.2011 20:15:48		 2455900.34431		 				 				 13.904
 4.12.2011 20:16:14		 2455900.34461		 				 13.566		 		
 4.12.2011 20:47:23		 2455900.36625		 14.258		 				 		
 4.12.2011 20:47:55		 2455900.36661		 				 				 14.033
 4.12.2011 20:48:21		 2455900.36691		 				 13.614		 		
 4.12.2011 22:9:26		 2455900.42322		 14.605		 				 		
 4.12.2011 22:10:17		 2455900.42381		 				 				 14.263
 4.12.2011 22:11:3		 2455900.42435		 				 13.779		 		
 5.12.2011 18:19:59		 2455901.26388		 13.924		 				 		
 5.12.2011 18:20:30		 2455901.26424		 				 				 13.806
 5.12.2011 18:20:56		 2455901.26454		 				 13.502		 		
 5.12.2011 18:39:22		 2455901.27734		 14.005		 				 		
 5.12.2011 18:39:53		 2455901.2777		 				 				 13.861
 5.12.2011 18:40:19		 2455901.278		 				 13.535		 		
 5.12.2011 19:4:50		 2455901.29503		 14.154		 				 		
 5.12.2011 19:5:20		 2455901.29538		 				 				 13.949
 5.12.2011 19:5:47		 2455901.29569		 				 13.588		 		
 5.12.2011 19:51:3		 2455901.32712		 14.327		 				 		
 5.12.2011 19:51:34		 2455901.32748		 				 				 14.096
 5.12.2011 19:52:0		 2455901.32778		 				 13.652		 		
 5.12.2011 20:5:13		 2455901.33696		 14.414		 				 		
 5.12.2011 20:5:44		 2455901.33732		 				 				 14.148
 5.12.2011 20:6:10		 2455901.33762		 				 13.689		 		
 5.12.2011 20:16:41		 2455901.34492		 14.483		 				 		
 5.12.2011 20:17:12		 2455901.34528		 				 				 14.183
 5.12.2011 20:17:38		 2455901.34558		 				 13.736		 		
 5.12.2011 20:33:26		 2455901.35656		 14.529		 				 		
 5.12.2011 20:33:57		 2455901.35692		 				 				 14.233
 5.12.2011 20:34:24		 2455901.35723		 				 13.740		 		
 5.12.2011 20:54:34		 2455901.37123		 14.609		 				 		
 5.12.2011 20:55:5		 2455901.37159		 				 				 14.268
 5.12.2011 20:55:32		 2455901.3719		 				 13.795		 		
 5.12.2011 21:5:21		 2455901.37872		 14.628		 				 		
 5.12.2011 21:5:51		 2455901.37907		 				 				 14.290
 5.12.2011 21:6:18		 2455901.37938		 				 13.826		 		
 5.12.2011 21:58:33		 2455901.41566		 14.809		 				 		
